,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
GPRC5B,0.000370671,0.599117457,0.788613764,0.396480019,4.807072345,1.53E-06,TRUE,TRUE
PHACTR3,0.00037726,0.797119277,0.674169707,-0.241683814,-2.504084861,0.012276858,FALSE,FALSE
AP000304.12,0.000421939,0.190634659,0.127912951,-0.575648093,-2.465794524,0.013670973,TRUE,FALSE
FAM229B,0.000448801,0.050764017,0.031123894,-0.705783673,-3.619479379,0.000295196,TRUE,TRUE
PDCD6IP,0.000451529,0.193310032,0.138777283,-0.478145085,-3.189049187,0.001427416,TRUE,FALSE
ITPR2,0.000451529,1.298965737,1.132699698,-0.197597953,-2.700395534,0.006925708,FALSE,FALSE
EPHB1,0.000519336,0.539037609,0.435751828,-0.306879217,-2.552729969,0.010688232,TRUE,FALSE
BCL2L14,0.000524254,0.072071796,0.043783472,-0.719048432,-3.012231707,0.002593346,TRUE,FALSE
RORB,0.000551179,0.721708509,0.604407316,-0.255895142,-3.463738302,0.000532725,TRUE,FALSE
NPNT,0.000586602,0.006114071,0.025624493,2.067318172,4.043980874,5.26E-05,TRUE,TRUE
PDXDC1,0.000604987,0.422505501,0.33894292,-0.317927789,-2.805084483,0.005030339,TRUE,FALSE
TRPM3,0.000607792,1.974702196,2.369954286,0.263224134,2.208364247,0.027218892,TRUE,FALSE
SPDYE5,0.000648279,0.107020768,0.061027827,-0.810351655,-2.855104946,0.004302261,TRUE,FALSE
GAPVD1,0.000648279,0.149173442,0.096007402,-0.635773176,-3.366807697,0.000760437,TRUE,FALSE
CPSF6,0.000648279,0.127422408,0.09293384,-0.455343086,-3.268315886,0.001081895,TRUE,FALSE
FGF14,0.000666727,0.203618049,0.165829582,-0.296164057,-3.250163801,0.001153386,TRUE,FALSE
RP11-156P1.2,0.000666727,0.066303254,0.029296191,-1.178366598,-4.134239598,3.56E-05,TRUE,TRUE
ARHGEF26,0.000673974,0.557481348,0.450312904,-0.307995717,-2.661870177,0.007770784,TRUE,FALSE
ALDH1A1,0.000673974,0.293887997,0.225454363,-0.382431011,-3.225589944,0.001257133,TRUE,FALSE
GRAMD3,0.000746203,1.10567669,1.387062568,0.327103278,5.467188712,4.57E-08,TRUE,TRUE
GNPTAB,0.0007515,0.141016244,0.074766741,-0.915392804,-3.107893073,0.001884262,TRUE,FALSE
ADAMTSL3,0.000815972,0.048392239,0.088677229,0.873788004,3.852530764,0.000116903,TRUE,TRUE
CSRP1,0.000856145,0.326483327,0.448034295,0.456599852,6.208243802,5.36E-10,TRUE,TRUE
PIK3C2A,0.000956093,0.497436506,0.40949886,-0.280652953,-3.042814864,0.002343765,TRUE,FALSE
TMCC1,0.000976961,0.391255376,0.319094126,-0.294128523,-2.64251688,0.008229236,TRUE,FALSE
WRN,0.000991343,0.215285144,0.17256844,-0.319080126,-3.096862122,0.001955808,TRUE,FALSE
SON,0.000991343,0.808804861,1.040653161,0.36362574,2.119840061,0.034019536,TRUE,FALSE
LRRC16A,0.001012445,1.479147022,1.295526685,-0.191226726,-2.243368058,0.02487309,FALSE,FALSE
TMBIM6,0.001012445,0.410061596,0.547930564,0.418152445,5.275969459,1.32E-07,TRUE,TRUE
SMTN,0.001068193,0.084495339,0.155243362,0.877587922,3.16984348,0.001525211,TRUE,FALSE
CCDC24,0.001213961,0.102563507,0.059663427,-0.781598741,-2.741659383,0.00611297,TRUE,FALSE
ZNF423,0.001255257,0.254328173,0.201167517,-0.338293917,-3.534658501,0.000408302,TRUE,TRUE
MRAS,0.001281579,0.362810709,0.522656917,0.5266472,3.528821274,0.000417415,TRUE,TRUE
SORCS2,0.001281579,0.410708931,0.339279273,-0.275643021,-3.21319687,0.001312663,TRUE,FALSE
PIP4K2A,0.001330084,0.231819045,0.186107758,-0.316860903,-3.859372439,0.000113679,TRUE,TRUE
LRRC7,0.001378733,0.11107774,0.061935411,-0.842733327,-3.752035411,0.000175405,TRUE,TRUE
AHNAK,0.001450252,0.170748251,0.248025679,0.538618692,5.897910694,3.68E-09,TRUE,TRUE
HP1BP3,0.001452889,0.210253067,0.311840114,0.56867968,5.083431362,3.71E-07,TRUE,TRUE
WIF1,0.001481921,0.511870442,0.399912967,-0.356092638,-0.8331771,0.404744856,TRUE,FALSE
FNBP1,0.001529218,1.064365896,0.925774454,-0.201261531,-2.927548694,0.003416456,FALSE,FALSE
C10orf11,0.001551929,0.266120247,0.429709258,0.691282584,2.744240847,0.006065102,TRUE,FALSE
IDH3A,0.001551929,0.083922036,0.054508937,-0.622556909,-3.297017281,0.000977175,TRUE,FALSE
FGL1,0.001611291,0.088540997,0.059209522,-0.58051642,-2.931137545,0.003377232,TRUE,FALSE
NKAIN3,0.001611291,2.148554657,1.898589957,-0.178438121,-1.936309842,0.052829764,FALSE,FALSE
NPAS2,0.001612791,0.31148264,0.451040827,0.534106269,3.56710737,0.000360944,TRUE,TRUE
CDH20,0.001631201,2.699015661,3.135752788,0.216378479,2.51122359,0.012031347,FALSE,FALSE
RALGAPA2,0.001740608,0.460007512,0.361681759,-0.346936584,-4.527955794,5.96E-06,TRUE,TRUE
RPL13,0.001862737,0.190775647,0.140907056,-0.437133158,-2.101982105,0.035554843,TRUE,FALSE
TPT1,0.001864638,0.118008868,0.179787132,0.607394493,2.794313921,0.005200996,TRUE,FALSE
PCDH9,0.001864638,8.487414892,8.03267393,-0.079444888,-2.609469489,0.009068273,FALSE,FALSE
GPS2,0.001915474,0.012713928,0.043609277,1.778225269,3.839614814,0.000123227,TRUE,TRUE
NEMF,0.001940507,0.272064224,0.232356639,-0.227606388,-3.171397817,0.001517072,FALSE,FALSE
RHPN1,0.001995071,0.119805098,0.203259414,0.762632878,3.610303131,0.000305839,TRUE,TRUE
