"ENSEMBL","HGNC"
"ENSG00000259351",""
"ENSG00000259422",""
"ENSG00000259475",""
"ENSG00000259498","TPM1-AS"
"ENSG00000259519",""
"ENSG00000259520",""
"ENSG00000259577","CERNA1"
"ENSG00000259709",""
"ENSG00000259755",""
"ENSG00000259881",""
"ENSG00000259940",""
"ENSG00000259961",""
"ENSG00000259985",""
"ENSG00000260281","ITFG1-AS1"
"ENSG00000260625",""
"ENSG00000260793",""
"ENSG00000260879",""
"ENSG00000260898","ADPGK-AS1"
"ENSG00000261235",""
"ENSG00000261265",""
"ENSG00000261329",""
"ENSG00000261332",""
"ENSG00000261393",""
"ENSG00000261407",""
"ENSG00000261801","LOXL1-AS1"
"ENSG00000261821",""
"ENSG00000262116",""
"ENSG00000262151",""
"ENSG00000262884",""
"ENSG00000262983",""
"ENSG00000262999",""
"ENSG00000263065",""
"ENSG00000263072","ZNF213-AS1"
"ENSG00000263335",""
"ENSG00000263698",""
"ENSG00000263797",""
"ENSG00000265194",""
"ENSG00000266490",""
"ENSG00000266677",""
"ENSG00000266916","ZNF793-AS1"
"ENSG00000266933",""
"ENSG00000266962",""
"ENSG00000266993",""
"ENSG00000267080","ASB16-AS1"
"ENSG00000267131",""
"ENSG00000267169",""
"ENSG00000267549",""
"ENSG00000267551",""
"ENSG00000267750","RUNDC3A-AS1"
"ENSG00000267757","EML2-AS1"
"ENSG00000267784",""
"ENSG00000268015",""
"ENSG00000268364","SMC5-AS1"
"ENSG00000268530",""
"ENSG00000269019","HOMER3-AS1"
"ENSG00000269148",""
"ENSG00000269318",""
"ENSG00000269352","PTOV1-AS2"
"ENSG00000269583",""
"ENSG00000269793","ZIM2-AS1"
"ENSG00000269821","KCNQ1OT1"
"ENSG00000269984",""
"ENSG00000270021",""
"ENSG00000270638",""
"ENSG00000270792",""
"ENSG00000270823",""
"ENSG00000270959","LPP-AS2"
"ENSG00000271122",""
"ENSG00000271360",""
"ENSG00000271474",""
"ENSG00000271795",""
"ENSG00000271933",""
"ENSG00000271976",""
"ENSG00000272267",""
"ENSG00000272323",""
"ENSG00000272491",""
"ENSG00000272562",""
"ENSG00000272572",""
"ENSG00000272620","AFAP1-AS1"
"ENSG00000272661",""
"ENSG00000272918",""
"ENSG00000272967",""
"ENSG00000273137",""
"ENSG00000273387",""
"ENSG00000273492",""
